,label,group,AU01_mean,AU01_std,AU01_e0_length,AU01_e0_intensity,AU01_e0_amount,AU01_e1_length,AU01_e1_intensity,AU01_e1_amount,AU01_e2_length,AU01_e2_intensity,AU01_e2_amount,AU02_mean,AU02_std,AU02_e0_length,AU02_e0_intensity,AU02_e0_amount,AU02_e1_length,AU02_e1_intensity,AU02_e1_amount,AU02_e2_length,AU02_e2_intensity,AU02_e2_amount,AU04_mean,AU04_std,AU04_e0_length,AU04_e0_intensity,AU04_e0_amount,AU04_e1_length,AU04_e1_intensity,AU04_e1_amount,AU04_e2_length,AU04_e2_intensity,AU04_e2_amount,AU05_mean,AU05_std,AU05_e0_length,AU05_e0_intensity,AU05_e0_amount,AU05_e1_length,AU05_e1_intensity,AU05_e1_amount,AU05_e2_length,AU05_e2_intensity,AU05_e2_amount,AU06_mean,AU06_std,AU06_e0_length,AU06_e0_intensity,AU06_e0_amount,AU06_e1_length,AU06_e1_intensity,AU06_e1_amount,AU06_e2_length,AU06_e2_intensity,AU06_e2_amount,AU07_mean,AU07_std,AU07_e0_length,AU07_e0_intensity,AU07_e0_amount,AU07_e1_length,AU07_e1_intensity,AU07_e1_amount,AU07_e2_length,AU07_e2_intensity,AU07_e2_amount,AU09_mean,AU09_std,AU09_e0_length,AU09_e0_intensity,AU09_e0_amount,AU09_e1_length,AU09_e1_intensity,AU09_e1_amount,AU09_e2_length,AU09_e2_intensity,AU09_e2_amount,AU10_mean,AU10_std,AU10_e0_length,AU10_e0_intensity,AU10_e0_amount,AU10_e1_length,AU10_e1_intensity,AU10_e1_amount,AU10_e2_length,AU10_e2_intensity,AU10_e2_amount,AU12_mean,AU12_std,AU12_e0_length,AU12_e0_intensity,AU12_e0_amount,AU12_e1_length,AU12_e1_intensity,AU12_e1_amount,AU12_e2_length,AU12_e2_intensity,AU12_e2_amount,AU15_mean,AU15_std,AU15_e0_length,AU15_e0_intensity,AU15_e0_amount,AU15_e1_length,AU15_e1_intensity,AU15_e1_amount,AU15_e2_length,AU15_e2_intensity,AU15_e2_amount,AU17_mean,AU17_std,AU17_e0_length,AU17_e0_intensity,AU17_e0_amount,AU17_e1_length,AU17_e1_intensity,AU17_e1_amount,AU17_e2_length,AU17_e2_intensity,AU17_e2_amount
155,sad,coda_speech,0.15288461538461534,0.28194239808355187,0.0,0.0,0,5.0,0.68,1,16.0,0.09999999999999999,1,0.04076923076923077,0.07527325785706561,0.0,0.0,0,10.0,0.11499999999999999,1,16.0,0.00125,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.09173076923076924,0.19587632306292554,11.0,0.06818181818181818,1,16.0,0.153125,1,16.0,0.05,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.005192307692307692,0.021189193010883844,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.045,0.08707670722516138,9.0,0.041111111111111105,1,0.0,0.0,0,0.0,0.0,0,0.0005769230769230769,0.003076451698432847,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.14038461538461539,0.1374267938949364,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1144230769230769,0.202749855168232,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.4161538461538462,0.37733925987596434,14.0,0.9542857142857143,1,0.0,0.0,0,0.0,0.0,0
156,happy,coda_sign,0.16694444444444445,0.25249047002102365,29.0,0.5331034482758621,1,7.0,0.10571428571428573,1,0.0,0.0,0,0.16493055555555555,0.3597084999467693,17.0,0.49558620689655175,2,0.0,0.0,0,0.0,0.0,0,0.033749999999999995,0.07500932342981505,7.0,0.0071428571428571435,1,0.0,0.0,0,0.0,0.0,0,0.03402777777777778,0.07258772791580023,47.0,0.04191489361702128,1,47.0,0.05106382978723403,1,47.0,0.011063829787234043,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.003541666666666666,0.01707526530730007,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.05618055555555555,0.10863421995459693,0.0,0.0,0,0.0,0.0,0,4.5,0.2316666666666667,2,0.06652777777777778,0.10185907887995037,2.0,0.09,1,0.0,0.0,0,0.0,0.0,0,0.09513888888888888,0.1280187164589294,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.4968055555555556,1.0113700828304368,0.0,0.0,0,11.0,3.186363636363636,1,10.0,0.9710000000000001,1,0.7054166666666666,0.6820648155325215,5.333333333333333,0.8436666666666666,3,8.0,2.3075,1,17.0,1.3882352941176472,1
157,happy,coda_speech,0.12469387755102042,0.18677194249512252,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.05204081632653062,0.09438351709551689,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.030408163265306126,0.05689753889205393,16.0,0.00125,1,15.0,0.0013333333333333333,1,15.0,0.09533333333333331,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0926530612244898,0.19077446883475702,1.0,0.48,1,2.0,0.6950000000000001,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.336530612244898,0.23397427761408737,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1330612244897959,0.17035751722031345,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.3436734693877551,0.28950168305175,12.0,0.7208333333333333,1,2.0,0.655,1,5.0,0.16,1
158,neutral,coda_sign,0.3368518518518519,0.44729063213175235,23.0,0.6904347826086956,1,31.0,0.8129032258064519,1,0.0,0.0,0,0.09833333333333333,0.20156607350339897,40.0,0.017249999999999998,1,38.0,0.18210526315789474,1,0.0,0.0,0,0.033518518518518524,0.07556390263639452,0.0,0.0,0,0.0,0.0,0,6.0,0.10166666666666668,1,0.04771604938271605,0.10354148021885042,53.0,0.008867924528301886,1,18.5,0.10765873015873016,2,10.0,0.01375,2,0.04759259259259259,0.19241132685617415,0.0,0.0,0,7.0,0.8828571428571428,1,0.0,0.0,0,0.01790123456790123,0.04487985477835242,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,0.1087037037037037,0.2479008489656185,1.0,0.29,1,1.0,0.11,1,17.0,0.4076388888888889,2,0.09641975308641977,0.258816266838201,0.0,0.0,0,9.0,0.9888888888888889,1,0.0,0.0,0,0.11277777777777777,0.2812952517081303,0.0,0.0,0,7.0,1.1742857142857144,1,0.0,0.0,0,0.29950617283950615,0.48191620939839125,4.666666666666667,0.9574166666666667,3,5.0,0.726,1,9.0,1.161111111111111,1,1.3854938271604937,1.0460864971831865,10.0,2.2765625,2,17.5,1.7953333333333337,2,37.0,2.2056756756756757,1
159,neutral,coda_speech,0.09907692307692306,0.11855540736459311,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.04692307692307693,0.09098288089187227,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.028153846153846154,0.06041244459164405,6.0,0.0,1,8.0,0.05875000000000001,2,20.0,0.0415,1,0.002,0.008329165624478841,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.07846153846153846,0.1327030374703087,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.047384615384615386,0.08103388417579022,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.004,0.013086252328302402,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.15384615384615385,0.10191436827816999,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.08153846153846155,0.10104502043072758,13.0,0.19153846153846152,1,0.0,0.0,0,0.0,0.0,0,0.4578461538461538,0.4425547010952866,8.0,1.42375,1,5.0,0.568,1,0.0,0.0,0
160,angry,coda_sign,0.18066929133858267,0.26185252329209385,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0956692913385827,0.1938362070917943,4.0,0.29700000000000004,2,0.0,0.0,0,15.0,0.3359722222222222,2,1.4038188976377952,0.35266907569805533,84.0,1.5958333333333339,1,30.5,1.0787986111111112,2,39.0,1.322220982142857,3,0.06897637795275591,0.174966217611875,10.666666666666666,0.01,3,74.0,0.22959459459459458,2,8.0,0.006666666666666666,2,0.1816535433070866,0.2749869239565386,19.0,0.9231578947368421,1,12.0,0.2725,1,7.666666666666667,0.47119047619047616,3,0.40090551181102363,0.31202064726124445,20.666666666666668,0.38989446435683,3,38.5,0.40540540540540543,2,38.0,0.4061388888888889,2,0.07799212598425197,0.13828817914454766,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.10724409448818899,0.22195921416230582,10.0,1.033,1,0.0,0.0,0,0.0,0.0,0,0.15448818897637792,0.2128136695861315,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.19625984251968503,0.29471059597009774,0.0,0.0,0,3.5,0.17,2,3.0,0.3016666666666667,2,0.37578740157480317,0.30075525826533633,15.5,0.6205,2,7.0,0.6014444444444444,2,10.0,0.7481746031746032,3
161,angry,coda_speech,0.10288888888888889,0.11371060201274553,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.04111111111111111,0.07142135605692532,0.0,0.0,0,0.0,0.0,0,10.0,0.031000000000000007,1,0.3228888888888889,0.10939133716371077,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.02288888888888889,0.038824911298980934,14.0,0.02214285714285714,1,14.0,0.01,1,14.0,0.03214285714285715,1,0.234,0.053529940644974995,14.0,0.24071428571428571,1,14.0,0.25285714285714284,1,14.0,0.21071428571428572,1,0.8808888888888892,0.31595326338948393,0.0,0.0,0,10.0,0.998,1,14.0,1.1742857142857144,1,0.02622222222222222,0.040859453612290875,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.12333333333333335,0.1692765354517437,0.0,0.0,0,0.0,0.0,0,2.0,0.375,1,0.5168888888888888,0.1388397084643462,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1602222222222222,0.19920853496785826,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.3071111111111111,0.21507527458397846,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
162,happy,coda_sign,0.3753,0.6221214394530505,8.0,0.97,1,15.5,1.6353541666666667,2,5.0,0.5980000000000001,1,0.261,0.5419219473179921,11.0,0.8518181818181817,1,14.0,1.4112051282051283,2,0.0,0.0,0,0.64535,0.37952877089846365,29.0,0.8698484848484848,2,12.0,1.2608333333333333,1,5.0,1.106,1,0.06205,0.14464754425949136,58.0,0.0,1,4.333333333333333,0.0,3,24.5,0.08306818181818182,2,0.9527500000000001,0.556764646739802,66.0,1.0886363636363638,1,55.0,1.4354545454545455,1,21.0,0.7171618037135277,2,0.20385,0.2482758182134292,62.0,0.3685483870967743,1,37.0,0.3032432432432432,1,4.5,0.0125,4,0.03545,0.07738046381939387,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.29725,0.3767007496327414,66.0,0.09757575757575758,1,51.0,0.726078431372549,1,47.0,0.20319148936170212,1,1.56685,0.7545124403302211,66.0,1.4696969696969695,1,51.0,2.4607843137254903,1,58.0,1.4153448275862066,1,0.2544,0.43992991675753473,4.5,0.140625,2,8.5,0.9830769230769231,2,11.5,0.9157142857142857,2,0.3734,0.30132944958289365,6.333333333333333,0.45481481481481484,3,3.0,0.83875,2,31.5,0.5309186046511628,2
163,happy,coda_speech,0.6653125,0.8658390835186334,6.0,1.6533333333333333,1,4.0,1.8475,1,0.0,0.0,0,0.07718749999999999,0.1631392513240779,6.0,0.35666666666666663,1,4.0,0.07250000000000001,1,0.0,0.0,0,0.1065625,0.10369338719700064,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0896875,0.18467904809818467,8.0,0.11624999999999999,1,10.0,0.137,1,9.0,0.0,1,0.74,0.35926448160364466,10.0,0.6270000000000001,1,10.0,0.889,1,9.0,0.7122222222222221,1,0.8903124999999998,0.53091816011692,6.0,1.0483333333333336,1,6.0,1.4466666666666665,1,3.5,1.0008333333333335,2,0.0834375,0.1466751815099192,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.31281250000000005,0.18722479803701217,5.0,0.49000000000000005,1,6.0,0.4633333333333334,1,0.0,0.0,0,1.304375,0.3931505293264622,10.0,1.583,1,10.0,1.3479999999999999,1,9.0,0.9888888888888887,1,0.12,0.12394067259209401,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.6903125,0.6474938503880346,0.0,0.0,0,0.0,0.0,0,7.0,1.512857142857143,1
164,neutral,coda_sign,0.22506944444444443,0.33101665081347964,15.0,0.6544642857142856,2,2.0,0.16,1,10.0,0.688,1,0.19041666666666665,0.43914550689239235,47.0,0.4925531914893618,1,2.0,0.0,1,11.0,0.38818181818181813,1,1.058402777777778,0.376859795105627,9.0,1.5814705882352942,2,36.0,1.025277777777778,1,23.0,1.258695652173913,1,0.06118055555555556,0.1689229415405444,9.0,0.021111111111111112,2,14.5,0.09655844155844157,2,0.0,0.0,0,0.6853472222222222,0.9128629468395076,33.0,1.8303030303030303,1,11.0,1.1472727272727272,1,15.0,1.4053333333333333,1,0.14833333333333332,0.26474423598921,38.0,0.30447368421052634,1,3.0,0.5633333333333334,1,9.0,0.7355555555555555,1,0.07902777777777778,0.149508843644429,0.0,0.0,0,0.0,0.0,0,4.0,0.5575000000000001,1,0.5916666666666667,0.7028135265821605,35.0,1.2899999999999998,1,6.0,0.7074285714285715,2,9.5,0.7341666666666666,2,0.9266666666666666,1.109179751113281,34.0,2.255,1,12.0,1.4508333333333336,1,10.0,2.613,1,0.44826388888888896,0.6775700411359039,2.5,0.7916666666666666,2,3.0,1.3159999999999998,2,7.666666666666667,1.1183333333333334,3,0.6484722222222222,0.5199654634099107,6.5,1.2106666666666666,2,2.0,1.275,1,7.0,1.606060606060606,2
